img_id,cam_id,seq_id,frame_id,bbox_id,x_min,x_max,y_min,y_max,label_l1,label_l2,fao_mfa,train,val,test,is_fish
da9120a6-db28-11ea-9d63-ef6f2e9f3726,56,13145,45,1,196,314,688,749,Human,HUMAN,81,False,True,False,False
da9120a6-db28-11ea-9d63-ef6f2e9f3726,56,13145,45,2,561,801,484,749,Human,HUMAN,81,False,True,False,False
da9120a6-db28-11ea-9d63-ef6f2e9f3726,56,13145,45,3,918,1108,586,749,Human,HUMAN,81,False,True,False,False
da4e942a-db28-11ea-b98f-df975a039489,53,13142,39,1,0,234,0,404,Human,HUMAN,71,True,False,False,False
da4e942a-db28-11ea-b98f-df975a039489,53,13142,39,2,140,460,0,340,Human,HUMAN,71,True,False,False,False
da4e942a-db28-11ea-b98f-df975a039489,53,13142,39,3,846,1121,111,245,Swordfish,BILL,71,True,False,False,True
da4e942a-db28-11ea-b98f-df975a039489,53,13142,39,4,1097,1236,10,204,Human,HUMAN,71,True,False,False,False
dac59b6a-db28-11ea-bce5-ef781d7c8eab,63,13099,18,1,620,868,192,333,Albacore,ALB,81,False,False,True,True
dac59b6a-db28-11ea-bce5-ef781d7c8eab,63,13099,18,2,690,889,0,245,Human,HUMAN,81,False,False,True,False
94da7cec-23f0-11e9-b15f-37a875ab36ff,10,12973,12,131950,316,657,0,520,Human,HUMAN,81,True,False,False,False
fc71ac50-5952-11ec-b6a8-cff8ba66b119,86,12785,11,49334,360,432,281,365,Albacore,ALB,81,True,False,False,True
da4a6cd8-db28-11ea-af09-b7e5ac29282d,53,12776,16,1,61,255,1,235,Human,HUMAN,71,True,False,False,False
da4a6cd8-db28-11ea-af09-b7e5ac29282d,53,12776,16,2,1199,1359,426,611,Human,HUMAN,71,True,False,False,False
da4a6cd8-db28-11ea-af09-b7e5ac29282d,53,12776,16,3,54,165,111,210,Yellowfin tuna,YFT,71,True,False,False,True
da4f8056-db28-11ea-bc07-0fee020e4895,54,12712,0,1,168,269,0,192,Human,HUMAN,71,True,False,False,False
da4f8056-db28-11ea-bc07-0fee020e4895,54,12712,0,2,300,387,0,66,Human,HUMAN,71,True,False,False,False
94aadfdc-23f0-11e9-b26e-bff2c6cedcac,0,12500,7,12671,0,1279,0,719,No fish,NoF,71,True,False,False,False
da7d4130-db28-11ea-b797-1bb305febd38,60,12449,45,1,486,660,729,906,Albacore,ALB,81,True,False,False,True
da7d4130-db28-11ea-b797-1bb305febd38,60,12449,45,2,420,697,790,1029,Human,HUMAN,81,True,False,False,False
da7d4130-db28-11ea-b797-1bb305febd38,60,12449,45,3,582,723,175,543,Human,HUMAN,81,True,False,False,False
da7d4130-db28-11ea-b797-1bb305febd38,60,12449,45,6,218,471,421,740,Human,HUMAN,81,True,False,False,False
da7d4130-db28-11ea-b797-1bb305febd38,60,12449,45,7,538,695,35,254,Human,HUMAN,81,True,False,False,False
da7d4130-db28-11ea-b797-1bb305febd38,60,12449,45,8,608,772,0,128,Human,HUMAN,81,True,False,False,False
94de1db6-23f0-11e9-b5bf-13eb4dc55bad,11,12252,25,135078,0,239,371,669,Human,HUMAN,81,False,True,False,False
94de1db6-23f0-11e9-b5bf-13eb4dc55bad,11,12252,25,135079,160,394,30,424,Human,HUMAN,81,False,True,False,False
94de1db6-23f0-11e9-b5bf-13eb4dc55bad,11,12252,25,135080,236,370,3,154,Human,HUMAN,81,False,True,False,False
94de1db6-23f0-11e9-b5bf-13eb4dc55bad,11,12252,25,135081,25,121,0,162,Human,HUMAN,81,False,True,False,False
da51acf0-db28-11ea-bb39-7b4140f5da15,54,12236,23,1,148,248,0,145,Human,HUMAN,71,True,False,False,False
dab79d62-db28-11ea-b1b0-0f67c83ac826,62,12204,29,1,654,802,342,401,Albacore,ALB,81,True,False,False,True
dab79d62-db28-11ea-b1b0-0f67c83ac826,62,12204,29,2,629,761,15,276,Human,HUMAN,81,True,False,False,False
dab79d62-db28-11ea-b1b0-0f67c83ac826,62,12204,29,3,711,799,13,90,Human,HUMAN,81,True,False,False,False
dab79d62-db28-11ea-b1b0-0f67c83ac826,62,12204,29,4,608,659,0,47,Human,HUMAN,81,True,False,False,False
da4813ac-db28-11ea-a954-9f7da7da356f,53,12154,20,1,717,1310,533,717,Human,HUMAN,71,True,False,False,False
da64a44a-db28-11ea-9feb-6fe735106508,58,12123,8,1,0,264,79,400,Human,HUMAN,81,False,True,False,False
da64a44a-db28-11ea-9feb-6fe735106508,58,12123,8,2,0,168,542,1023,Human,HUMAN,81,False,True,False,False
